NumberOfOffers,Outcome,FirstWithdrawalAmount,MonthlyCost,CreditScore,Treatment,limit raise,new credit,car,caravan / camper,existing loan takeover,extra spending limit,home improvement,motorcycle,not speficied,other,"other, see explanation",remaining debt home,unknown
2,1,23.92,202.4,790.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,1228.0,336.01,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,10000.0,300.07,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4,1,15000.0,157.59,688.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,8000.0,245.89,1049.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,5000.0,56.3,899.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,25000.0,254.56,926.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,1800.0,73.19,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2,0,23300.0,261.48,899.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,5600.0,132.32,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,8304.0,1100.0,853.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,23700.0,356.38,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,15000.0,154.11,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,8304.0,500.0,899.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,12500.0,133.07,899.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,5000.0,206.27,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,8304.0,250.0,899.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,5000.0,222.31,952.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,15000.0,154.11,680.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,5000.0,222.31,1110.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,8000.0,190.42,1029.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,1,10585.0,178.6,865.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,5000.0,222.31,777.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,5000.0,222.31,1081.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,0,9932.0,276.96,899.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,7500.0,298.71,899.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,15000.0,154.11,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,30000.0,313.78,870.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
4,1,14.0,128.81,697.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,8304.0,625.0,899.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,5194.0,136.01,1025.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,4709.0,483.66,959.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,10000.0,108.81,841.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,57500.0,585.48,899.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,15000.0,154.11,899.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,20000.0,205.49,887.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,15000.0,154.11,602.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,700.0,381.77,899.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,8304.0,500.0,899.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,15000.0,154.11,899.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2,1,20000.0,205.49,960.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2,1,3516.58,254.56,809.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,5000.0,514.58,899.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,5000.0,118.15,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,15000.0,157.59,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,8304.0,500.0,899.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3,1,200.0,560.02,825.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,8304.0,200.0,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,1779.0,254.56,773.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,7000.0,213.95,982.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,12351.0,141.45,899.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2,0,9935.0,188.02,899.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,5000.0,56.3,899.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,12500.0,291.03,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,8304.0,154.11,937.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,11000.0,417.43,693.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,5000.0,308.24,899.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,5000.0,130.23,899.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,0,7594.0,521.75,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
4,1,8304.0,700.0,943.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,5000.0,242.13,1066.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,5000.0,206.27,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,20000.0,210.12,913.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,6500.0,153.59,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,15000.0,154.11,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,30000.0,305.47,974.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,30000.0,679.0,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,8304.0,125.0,769.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,526.0,209.43,949.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,10500.0,294.89,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,0,8000.0,200.12,899.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,8304.0,205.49,941.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,4662.0,120.0,1006.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,10000.0,300.07,899.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,1,7500.0,177.22,970.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,24675.0,305.47,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,8304.0,125.0,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,5000.0,222.31,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,1,20000.0,223.78,802.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,8000.0,244.52,899.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,20000.0,205.49,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,8304.0,350.0,899.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,1,8673.79,254.56,834.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,25000.0,273.28,924.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2,0,7000.0,213.95,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,1450.0,148.19,899.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,10904.0,262.61,936.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,6979.0,332.43,928.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,9000.0,101.34,778.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,8304.0,200.0,899.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,8304.0,250.0,899.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,15000.0,369.19,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,30000.0,313.78,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2,0,6000.0,141.78,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,8471.0,109.65,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
4,0,8304.0,300.0,899.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,8239.54,299.49,726.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,75.0,266.77,784.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,8304.0,168.09,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,5000.0,110.0,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,5000.0,56.3,899.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,3000.0,400.0,899.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,5000.0,291.87,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,4000.0,356.38,885.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,8304.0,210.12,907.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
3,1,21500.0,682.21,899.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,15000.0,154.11,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
3,1,8304.0,700.0,1043.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,2610.0,108.81,951.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,10000.0,344.89,812.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,10419.0,326.74,759.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,6000.0,150.09,958.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3,1,15000.0,444.96,805.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,8304.0,200.0,899.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2,0,8304.0,1500.0,899.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,0,5000.0,294.71,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,756.0,331.94,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,6000.0,133.07,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,5000.0,252.12,899.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,7000.0,215.15,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,12000.0,344.04,777.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,5000.0,118.15,899.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,1,15000.0,154.11,1064.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,15000.0,154.11,1035.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,10000.0,439.07,899.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,1181.0,154.11,1035.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,3235.0,56.3,899.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2,0,12000.0,271.69,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,17500.0,179.8,890.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2,1,970.19,198.54,924.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,115.0,78.82,998.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,7000.0,350.0,718.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,1550.0,118.15,1019.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,8304.0,357.27,899.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0,72000.0,733.12,899.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,12500.0,133.07,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2,0,7000.0,175.1,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,0,4500.0,208.7,899.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,7954.0,264.74,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,20000.0,227.24,913.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,8304.0,160.0,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,10000.0,222.33,970.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,6500.0,198.67,899.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,5000.0,152.82,899.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2,0,8000.0,196.26,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,1325.0,330.92,899.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,15000.0,157.59,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
3,0,6469.0,154.11,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,5000.0,118.15,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,0,5000.0,199.14,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,23000.0,236.31,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2,1,15000.0,154.11,1002.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,5000.0,152.82,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,8304.0,623.35,777.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,9313.0,190.78,689.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,7000.0,213.95,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,0,10300.0,702.57,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,3032.03,56.3,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,5000.0,56.3,899.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,5500.0,121.17,669.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,5000.0,60.0,952.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,27500.0,287.63,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,13951.0,305.47,862.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,13002.0,560.02,870.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,25.0,299.36,817.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,186.0,506.64,964.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,5000.0,347.54,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,5000.0,308.24,783.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,25000.0,669.98,899.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,8304.0,350.0,899.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,6000.0,266.77,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,22000.0,499.83,899.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,20200.0,305.47,934.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,25000.0,254.56,774.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,5000.0,222.31,899.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,6000.0,141.78,892.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,15000.0,154.11,1010.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,8304.0,992.7,899.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,8304.0,450.0,899.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,0,8304.0,160.0,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,900.0,118.15,899.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,20000.0,210.12,937.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2,1,23000.0,241.63,899.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,8304.0,400.0,923.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,6468.47,465.75,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,9340.0,318.56,791.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3,1,5000.0,118.15,960.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,6000.0,204.22,899.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,28000.0,700.0,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,18000.0,399.42,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,8000.0,100.81,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,9221.0,299.49,805.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,5000.0,199.14,899.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,7000.0,78.82,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
3,0,15000.0,254.56,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,8304.0,650.0,971.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,13050.0,286.63,899.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2,1,15000.0,154.11,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,5000.0,150.0,899.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,5000.0,252.12,958.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,603.0,355.7,824.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,6000.0,183.39,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,5000.0,56.3,899.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1,0,817.0,56.3,899.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,9972.0,254.56,921.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,23700.0,243.5,844.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,8304.0,300.0,1024.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,9300.0,522.97,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,7866.0,509.11,894.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2,0,8304.0,165.0,899.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,5249.0,225.39,1027.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,20000.0,205.49,899.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,5000.0,222.31,842.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4,0,10390.0,351.71,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,8304.0,535.72,899.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,50000.0,509.11,952.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2,0,6428.0,149.99,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,8304.0,400.0,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,9800.0,245.15,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
